Word Count,Word
10347,vacina
2255,tomar
939,covid
876,contra
695,pode
602,ter
571,vou
556,quer
477,chinesa
475,pessoas
461,gente
437,obrigar
412,ainda
412,toma
405,quero
396,china
386,agora
373,ninguém
352,cloroquina
348,anos
344,fazer
341,vírus
334,comprovação
331,assim
318,sair
314,todos
304,sobre
297,mundo
294,sim
293,então
289,bolsonaro
288,dia
279,vem
279,todo
269,nao
267,ano
264,vacinas
262,tudo
256,nada
251,tomou
250,obrigatória
243,porque
239,tomo
237,presidente
235,ver
235,logo
235,bem
233,vão
233,povo
233,quiser
232,corona
231,nunca
229,brasil
224,pessoa
224,aqui
221,científica
217,casa
211,saúde
211,alguém
209,nenhuma
208,vida
200,coisa
199,obrigado
199,acho
196,antes
196,liberdade
194,vacinar
190,feita
190,faz
188,querem
186,sendo
183,né
181,corpo
181,população
179,deve
177,ir
176,sabe
176,ficar
175,favor
170,vacinação
168,tome
168,outubro
167,soro
166,chegar
166,deus
164,eficácia
163,governo
162,diz
159,hoje
157,tô
155,vcs
154,queria
154,direito
152,caso
151,tempo
151,risco
151,pandemia
150,cada
150,disse
149,onde
149,cura
148,cara
147,estado
147,testes
146,precisa
145,remédio
143,outro
143,dar
142,país
142,meses
141,c
141,porra
140,doença
140,sei
140,outros
139,fala
139,fica
138,pois
137,menos
137,falando
135,máscara
135,vamos
132,existe
132,testada
131,ai
130,qualquer
129,quê
128,gripe
127,usar
126,problema
124,anti
123,mim
122,dessa
120,eficaz
120,tomei
120,bom
120,outra
119,filho
118,melhor
118,d
117,regras
116,lei
116,obrigatoriedade
115,família
115,acha
114,efeitos
114,falar
113,primeiro
113,sempre
113,toda
112,cavalo
111,dizer
110,oxford
109,medo
107,quarentena
106,ñ
105,cadê
105,?
105,chega
104,semana
104,mil
104,acredita
104,podem
104,mal
104,funciona
104,ja
103,uso
102,imune
102,ciência
100,voltar
100,desde
100,vez
100,enquanto
96,questão
96,tanto
95,médicos
94,boa
94,vidas
94,coisas
94,revolta
94,tipo
94,poder
94,exemplo
93,vacinado
93,sai
93,chinês
93,merda
93,escolha
92,gado
92,mês
91,quanto
91,apenas
91,dória
90,estar
89,amor
89,novo
89,tomando
88,dá
88,russa
88,pegar
87,algo
86,alguma
85,parece
85,aborto
84,coronavírus
84,mesma
84,certo
84,??
84,doria
83,tomarem
83,aprovada
82,outras
82,amigos
82,pqp
82,pressas
81,forma
81,importa
81,aplicada
80,todas
80,imunidade
79,mãe
78,posso
78,saber
78,querer
78,realmente
77,obrigatório
77,deixa
76,campanha
76,milhões
75,colaterais
75,claro
75,novembro
75,deveria
74,vontade
74,tbm
74,tal
73,falta
73,desse
73,pós
72,esperar
72,dias
72,uns
72,sarampo
71,fila
71,final
71,segura
71,nenhum
71,dinheiro
70,pronta
70,matar
69,pouco
69,tb
69,imunizado
69,anti-vacina
69,causa
69,fazendo
68,possível
68,parte
68,nessa
68,hora
68,ok
67,deixar
67,comunista
67,lógica
67,certeza
67,livre
67,teste
67,tomem
67,conta
67,disso
66,galera
66,passar
66,pessoal
66,demais
65,segurança
65,além
65,braço
65,mano
65,produzindo
65,nesse
64,obrigada
64,eh
63,fique
63,matando
62,duas
62,jeito
62,maior
62,preciso
62,meio
61,cu
61,falou
61,concordo
61,neles
60,devem
60,eua
60,normal
60,verdade
60,vale
60,pensar
59,tomarei
59,fim
59,decidir
59,tava
59,vir
59,querendo
59,estará
59,amiga
59,doenças
59,toa
58,primeira
58,aniversário
58,saiu
58,esquerda
58,sério
58,burros
58,cor
58,nova
58,dentro
57,cobaia
57,setembro
57,deu
57,injetar
57,contaminar
57,olha
57,individual
57,xixi
57,??
57,??
57,??
56,pior
56,muita
56,coronga
56,simples
56,aplicaram
56,??
56,salve
55,feliz
55,volta
55,dizendo
55,puta
